split,family,seed,method,approximation_ratio,cut_value,optimal_value,runtime_sec,depth,n_nodes,n_edges,objective_std,objective_stderr,n_initial_points,maxiter,n_objective_evaluations,budget_reference
evaluation,erdos_renyi_8_0.5,404,hill_climb_budget_matched,1.0,13.0,13.0,0.0005555152893066406,0,8,19,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,505,exact,1.0,8.0,8.0,0.0017256736755371094,0,8,9,0.0,0.0,,,256.0,classical_exact
evaluation,erdos_renyi_8_0.5,505,qaoa_tuned,0.8342260161860081,6.673808129488065,8.0,0.6627295017242432,2,8,9,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,505,greedy,1.0,8.0,8.0,0.00038814544677734375,0,8,9,0.0,0.0,,,,deterministic_greedy
evaluation,erdos_renyi_8_0.5,505,local_search,1.0,8.0,8.0,0.0003864000318571925,0,8,9,0.0,0.0,,,,fixed_local_search_iterations
evaluation,erdos_renyi_8_0.5,505,random_cut,0.875,7.0,8.0,0.0015621185302734375,0,8,9,0.0,0.0,,,64.0,fixed_random_trials
evaluation,erdos_renyi_8_0.5,505,goemans_williamson,1.0,8.0,8.0,0.015359163284301758,0,8,9,0.0,0.0,,,,sdp_rounding
evaluation,erdos_renyi_8_0.5,505,random_budget_matched,0.875,7.0,8.0,0.0010876655578613281,0,8,9,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,505,hill_climb_budget_matched,1.0,8.0,8.0,0.0004019737243652344,0,8,9,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,606,exact,1.0,11.0,11.0,0.002492189407348633,0,8,15,0.0,0.0,,,256.0,classical_exact
evaluation,erdos_renyi_8_0.5,606,qaoa_tuned,0.9005584425114399,9.906142867625839,11.0,0.9014923572540283,2,8,15,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,606,greedy,1.0,11.0,11.0,0.00037169456481933594,0,8,15,0.0,0.0,,,,deterministic_greedy
evaluation,erdos_renyi_8_0.5,606,local_search,1.0,11.0,11.0,0.00034380005672574043,0,8,15,0.0,0.0,,,,fixed_local_search_iterations
evaluation,erdos_renyi_8_0.5,606,random_cut,1.0,11.0,11.0,0.0017654895782470703,0,8,15,0.0,0.0,,,64.0,fixed_random_trials
evaluation,erdos_renyi_8_0.5,606,goemans_williamson,1.0,11.0,11.0,0.016298770904541016,0,8,15,0.0,0.0,,,,sdp_rounding
evaluation,erdos_renyi_8_0.5,606,random_budget_matched,1.0,11.0,11.0,0.0012314319610595703,0,8,15,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,606,hill_climb_budget_matched,1.0,11.0,11.0,0.0004734992980957031,0,8,15,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,707,exact,1.0,10.0,10.0,0.0023355484008789062,0,8,14,0.0,0.0,,,256.0,classical_exact
evaluation,erdos_renyi_8_0.5,707,qaoa_tuned,0.8748087429529363,8.748087429529363,10.0,0.8782050609588623,2,8,14,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,707,greedy,1.0,10.0,10.0,0.0004951953887939453,0,8,14,0.0,0.0,,,,deterministic_greedy
evaluation,erdos_renyi_8_0.5,707,local_search,1.0,10.0,10.0,0.00032970006577670574,0,8,14,0.0,0.0,,,,fixed_local_search_iterations
evaluation,erdos_renyi_8_0.5,707,random_cut,1.0,10.0,10.0,0.0017328262329101562,0,8,14,0.0,0.0,,,64.0,fixed_random_trials
evaluation,erdos_renyi_8_0.5,707,goemans_williamson,1.0,10.0,10.0,0.015115022659301758,0,8,14,0.0,0.0,,,,sdp_rounding
evaluation,erdos_renyi_8_0.5,707,random_budget_matched,1.0,10.0,10.0,0.0011944770812988281,0,8,14,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,707,hill_climb_budget_matched,1.0,10.0,10.0,0.0004715919494628906,0,8,14,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,808,exact,1.0,11.0,11.0,0.002344369888305664,0,8,14,0.0,0.0,,,256.0,classical_exact
evaluation,erdos_renyi_8_0.5,808,qaoa_tuned,0.8010582322284165,8.811640554512582,11.0,0.8635199069976807,2,8,14,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,808,greedy,1.0,11.0,11.0,0.0005428791046142578,0,8,14,0.0,0.0,,,,deterministic_greedy
evaluation,erdos_renyi_8_0.5,808,local_search,0.8181818181818182,9.0,11.0,0.00034140003845095634,0,8,14,0.0,0.0,,,,fixed_local_search_iterations
evaluation,erdos_renyi_8_0.5,808,random_cut,1.0,11.0,11.0,0.001789093017578125,0,8,14,0.0,0.0,,,64.0,fixed_random_trials
evaluation,erdos_renyi_8_0.5,808,goemans_williamson,1.0,11.0,11.0,0.01973438262939453,0,8,14,0.0,0.0,,,,sdp_rounding
evaluation,erdos_renyi_8_0.5,808,random_budget_matched,0.9090909090909091,10.0,11.0,0.0011456012725830078,0,8,14,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,808,hill_climb_budget_matched,1.0,11.0,11.0,0.00046181678771972656,0,8,14,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,909,exact,1.0,10.0,10.0,0.002335071563720703,0,8,14,0.0,0.0,,,256.0,classical_exact
evaluation,erdos_renyi_8_0.5,909,qaoa_tuned,0.8387670439119524,8.387670439119525,10.0,0.8752748966217041,2,8,14,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,909,greedy,1.0,10.0,10.0,0.0003464221954345703,0,8,14,0.0,0.0,,,,deterministic_greedy
evaluation,erdos_renyi_8_0.5,909,local_search,0.9,9.0,10.0,0.0001852000132203102,0,8,14,0.0,0.0,,,,fixed_local_search_iterations
evaluation,erdos_renyi_8_0.5,909,random_cut,1.0,10.0,10.0,0.0017213821411132812,0,8,14,0.0,0.0,,,64.0,fixed_random_trials
evaluation,erdos_renyi_8_0.5,909,goemans_williamson,1.0,10.0,10.0,0.01581549644470215,0,8,14,0.0,0.0,,,,sdp_rounding
evaluation,erdos_renyi_8_0.5,909,random_budget_matched,1.0,10.0,10.0,0.0011925697326660156,0,8,14,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,909,hill_climb_budget_matched,1.0,10.0,10.0,0.00046181678771972656,0,8,14,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,1001,exact,1.0,8.0,8.0,0.0017733573913574219,0,8,9,0.0,0.0,,,256.0,classical_exact
evaluation,erdos_renyi_8_0.5,1001,qaoa_tuned,0.8305702215710252,6.644561772568202,8.0,0.750629186630249,2,8,9,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,1001,greedy,0.875,7.0,8.0,0.00029659271240234375,0,8,9,0.0,0.0,,,,deterministic_greedy
evaluation,erdos_renyi_8_0.5,1001,local_search,0.875,7.0,8.0,0.0002762000076472759,0,8,9,0.0,0.0,,,,fixed_local_search_iterations
evaluation,erdos_renyi_8_0.5,1001,random_cut,1.0,8.0,8.0,0.0016570091247558594,0,8,9,0.0,0.0,,,64.0,fixed_random_trials
evaluation,erdos_renyi_8_0.5,1001,goemans_williamson,1.0,8.0,8.0,0.01569843292236328,0,8,9,0.0,0.0,,,,sdp_rounding
evaluation,erdos_renyi_8_0.5,1001,random_budget_matched,1.0,8.0,8.0,0.0010669231414794922,0,8,9,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,erdos_renyi_8_0.5,1001,hill_climb_budget_matched,1.0,8.0,8.0,0.0003917217254638672,0,8,9,0.0,0.0,,,40.0,qaoa_objective_evaluations
